scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
comparison,2028,heavy_bev_km,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,0.0,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
comparison,2028,heavy_bev_revenue,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,0.0,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
comparison,2030,light_conventional_km,14442.85599877819,14875.454421097273,14875.454421097274,14875.454421097274,14987.532922777647,14875.454421097274,432.5984223190826,1.8189894035458565e-12,0.0,112.07850168037294,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,light_bev_km,3411.1071741336104,3513.278073159146,3513.2780731591456,3513.2780731591456,3473.5817637149225,3513.2780731591456,102.17089902553562,-4.547473508864641e-13,0.0,-39.69630944422306,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,light_phev_km,1864.6731226538723,1920.5245865934912,1920.524586593491,1920.524586593491,1848.1423943573418,1920.524586593491,55.85146393961895,-2.2737367544323206e-13,0.0,-72.3821922361492,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,light_pool_km,19718.636295565673,20309.25708084991,20309.25708084991,20309.25708084991,20309.25708084991,20309.25708084991,590.6207852842381,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,heavy_conventional_km,4210.8479002766635,4235.901371328348,4235.901371328348,4235.901371328348,4235.901371328348,4235.901371328348,25.053471051684937,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,heavy_conventional_revenue,1554.703706125548,1563.9537966578623,1563.9537966578623,1563.9537966578623,1563.9537966578623,1563.9537966578623,9.250090532314289,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,light_petrol_vkt,33215.469273610914,33782.1225303991,33782.1225303991,33782.1225303991,33782.1225303991,33782.1225303991,566.6532567881877,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,net_fed_revenue,2675.448085387011,2722.1004213710994,2722.1004213710994,2722.1004213710994,2722.1004213710994,2722.1004213710994,46.652335984088495,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,total_ruc_net_revenue,3233.8787196324442,3293.3138049143595,3293.31380491436,3293.31380491436,3296.6132163547495,3293.31380491436,59.435085281915235,4.547473508864641e-13,0.0,3.2994114403895765,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,total_nltf_net_revenue,6406.76842300114,6512.855844267144,6512.855844267144,6512.855844267144,6516.155255707534,6512.855844267144,106.08742126600373,0.0,0.0,3.299411440390031,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,heavy_bev_km,88.9568688458184,88.9568688458184,88.9568688458184,88.9568688458184,88.9568688458184,88.9568688458184,0.0,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
comparison,2030,heavy_bev_revenue,32.8477686056627,32.8477686056627,32.8477686056627,32.8477686056627,32.8477686056627,32.8477686056627,0.0,0.0,0.0,0.0,0.0,Base_EV,0.732447,0.172989,0.094564
