engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2145.548201133949,$m nominal ex GST,2038.23929657583,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2147.8215097802467,$m nominal ex GST,2038.23929657583,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2026,2129.5656987753755,$m nominal ex GST,2038.23929657583,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2823.1151379145613,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2896.714365364449,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2030,2815.9322048670465,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2031,2935.5468210516146,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2031,3032.4844534354597,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2050,1221.4263899399214,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,future_forecast,2050,1253.2692423546796,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2026,2062.7846868373,$m nominal ex GST,2062.7846868373,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2026,2038.23929657583,$m nominal ex GST,2038.23929657583,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2030,2706.16345401687,$m nominal ex GST,2706.16345401687,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2030,2707.91842670497,$m nominal ex GST,2707.91842670497,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2031,2771.07090986288,$m nominal ex GST,2771.07090986288,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2031,2772.84500582012,$m nominal ex GST,2772.84500582012,0
