baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2026Q2,Current planned path,future_forecast,Current finalist Base case,1529.4019970974282,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2026Q2,Current planned path,future_forecast,Current finalist comparison behavioural path,1529.2193302931837,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2026Q3,Current planned path,future_forecast,Current finalist Base case,1537.67393490705,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2026Q3,Current planned path,future_forecast,Current finalist comparison behavioural path,1537.39904953278,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2026Q4,Current planned path,future_forecast,Current finalist Base case,1547.5834747893225,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2026Q4,Current planned path,future_forecast,Current finalist comparison behavioural path,1547.2139339194275,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2027Q1,Current planned path,future_forecast,Current finalist Base case,1531.4418782380003,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2027Q1,Current planned path,future_forecast,Current finalist comparison behavioural path,1530.778527967581,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2027Q2,Current planned path,future_forecast,Current finalist Base case,1524.3091667099493,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2027Q2,Current planned path,future_forecast,Current finalist comparison behavioural path,1523.4121229734965,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2027Q3,Current planned path,future_forecast,Current finalist Base case,1531.3876310781338,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2027Q3,Current planned path,future_forecast,Current finalist comparison behavioural path,1530.2833124862275,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2027Q4,Current planned path,future_forecast,Current finalist Base case,1546.534628746646,,
